	ENSEMBL	SYMBOL	logFC	logCPM	PValue	FDR
57460	ENSG00000111110	PPM1H	-3.858711817	5.93578355	3.64E-37	2.61E-35
55124	ENSG00000197181	PIWIL2	5.869528105	6.304954413	4.37E-37	3.13E-35
164153	ENSG00000186150	UBL4B	9.154313551	4.648389641	4.51E-37	3.22E-35
8349	ENSG00000184678	H2BC21	-3.348925514	6.887233516	5.08E-37	3.61E-35
29999	ENSG00000106328	FSCN3	8.803256733	5.428634402	5.27E-37	3.73E-35
9709	ENSG00000051108	HERPUD1	-3.182599562	8.099436558	5.95E-37	4.20E-35
149699	ENSG00000124196	GTSF1L	10.64048449	4.812571249	6.16E-37	4.33E-35
25858	ENSG00000219435	CATSPERZ	8.820716813	6.587450758	6.27E-37	4.40E-35
100507584	ENSG00000249346	LINC01016	10.48251883	4.655987537	8.77E-37	6.13E-35
414301	ENSG00000170967	DDI1	11.90101071	4.082086259	1.27E-36	8.83E-35
25830	ENSG00000130540	SULT4A1	6.689211066	3.540820859	1.28E-36	8.90E-35
317719	ENSG00000161594	KLHL10	6.960831358	5.208032825	1.36E-36	9.41E-35
400629	ENSG00000182459	TEX19	9.799027174	3.988810225	1.45E-36	1.00E-34
133482	ENSG00000205359	SLCO6A1	12.52675255	4.701757259	1.92E-36	1.32E-34
928	ENSG00000010278	CD9	-4.348571766	8.663661722	1.95E-36	1.34E-34
147746	ENSG00000160396	HIPK4	5.79028369	3.701841274	2.04E-36	1.39E-34
165721	ENSG00000179407	DNAJB8	10.08858935	4.266178679	2.20E-36	1.50E-34
84654	ENSG00000164299	SPZ1	9.818760565	4.008089187	2.20E-36	1.50E-34
100287482	ENSG00000240204	SMKR1	6.573742873	4.892038219	2.55E-36	1.73E-34
160419	ENSG00000165805	C12orf50	12.6573967	4.831438157	4.14E-36	2.80E-34
388561	ENSG00000160336	ZNF761	-3.627724037	7.064276435	4.30E-36	2.90E-34
375316	ENSG00000177483	RBM44	5.866997258	5.404992536	4.41E-36	2.96E-34
92840	ENSG00000115255	REEP6	2.817271047	7.175112727	5.45E-36	3.66E-34
55	ENSG00000014257	ACPP	-12.16002063	12.59005166	5.63E-36	3.76E-34
374355	ENSG00000182645	CCDC172	10.96415938	3.160702034	5.64E-36	3.76E-34
168400	ENSG00000184735	DDX53	11.14752166	3.340224381	7.23E-36	4.81E-34
152015	ENSG00000114547	ROPN1B	6.716295657	5.700658892	1.08E-35	7.15E-34
201243	ENSG00000184560	SPEM2	12.39375017	4.569834797	1.12E-35	7.41E-34
220136	ENSG00000172361	CFAP53	6.050425558	5.842240795	1.22E-35	8.06E-34
83723	ENSG00000149926	TLCD3B	13.04157433	5.213214151	1.25E-35	8.19E-34
9725	ENSG00000196187	TMEM63A	-3.093336696	6.869900377	1.36E-35	8.91E-34
84075	ENSG00000189139	FSCB	12.6655831	4.839557291	1.41E-35	9.20E-34
220082	ENSG00000174015	CBY2	12.09736988	4.276251498	1.41E-35	9.20E-34
8611	ENSG00000067113	PLPP1	-3.452422557	7.126496763	1.62E-35	1.05E-33
83447	ENSG00000151475	SLC25A31	9.951899524	5.434333203	2.13E-35	1.38E-33
10615	ENSG00000076382	SPAG5	5.23747493	6.755818445	2.16E-35	1.39E-33
140870	ENSG00000243543	WFDC6	8.032062281	3.045935232	2.21E-35	1.42E-33
5873	ENSG00000069974	RAB27A	-3.152015009	6.806203835	2.22E-35	1.43E-33
84951	ENSG00000131746	TNS4	-6.753063214	4.046625167	3.46E-35	2.22E-33
81492	ENSG00000104941	RSPH6A	12.59976044	4.774208841	3.88E-35	2.47E-33
100505619	ENSG00000260268	LINC00919	11.94106164	4.121911465	4.29E-35	2.73E-33
881	ENSG00000185972	CCIN	7.662342943	5.266298248	4.30E-35	2.73E-33
146849	ENSG00000161973	CCDC42	9.804284932	5.287758577	4.44E-35	2.81E-33
7494	ENSG00000100219	XBP1	-3.939738758	8.463864085	4.73E-35	2.99E-33
441376	ENSG00000205002	AARD	5.792006579	5.106648355	5.37E-35	3.38E-33
375337	ENSG00000173769	TOPAZ1	11.15439149	3.346933425	5.66E-35	3.55E-33
124912	ENSG00000141316	SPACA3	11.3452064	3.534262681	5.81E-35	3.64E-33
79993	ENSG00000164181	ELOVL7	-5.336022304	5.905663476	7.17E-35	4.48E-33
57576	ENSG00000117245	KIF17	4.848835922	5.16913716	7.44E-35	4.63E-33
9319	ENSG00000071539	TRIP13	5.004468818	4.967766484	7.59E-35	4.71E-33
65266	ENSG00000126562	WNK4	-5.271075447	4.685509488	9.55E-35	5.91E-33
117245	ENSG00000168004	PLAAT5	5.304499057	6.070828251	1.02E-34	6.30E-33
9256	ENSG00000005379	TSPOAP1	-3.227896142	5.924564308	1.15E-34	7.07E-33
140801	ENSG00000165496	RPL10L	9.972527194	4.151298931	1.22E-34	7.51E-33
3206	ENSG00000253293	HOXA10	-5.765906012	4.275229286	1.29E-34	7.88E-33
116369	ENSG00000112053	SLC26A8	8.562843553	6.157144595	1.36E-34	8.29E-33
56937	ENSG00000124225	PMEPA1	-5.256216782	8.217679462	1.95E-34	1.18E-32
164781	ENSG00000123977	DAW1	9.56940333	5.068148331	1.95E-34	1.18E-32
128861	ENSG00000131059	BPIFA3	10.28458511	4.459655478	2.04E-34	1.23E-32
151254	ENSG00000155754	C2CD6	6.722698771	5.965077931	2.06E-34	1.25E-32
136991	ENSG00000154438	ASZ1	9.682315194	3.865167694	2.29E-34	1.38E-32
254528	ENSG00000162039	MEIOB	6.857749042	4.490106021	2.32E-34	1.39E-32
100129278	ENSG00000218819	TDRD15	9.763753051	3.954098239	2.54E-34	1.52E-32
84103	ENSG00000138813	C4orf17	11.47995507	3.666821198	2.70E-34	1.61E-32
3205	ENSG00000078399	HOXA9	-6.57386422	3.397670216	2.86E-34	1.71E-32
400550	ENSG00000268388	FENDRR	-5.684783854	4.73716267	2.92E-34	1.73E-32
6525	ENSG00000183963	SMTN	-3.290913521	7.833046865	2.99E-34	1.77E-32
60385	ENSG00000126467	TSKS	7.352552462	5.386993615	3.25E-34	1.92E-32
27163	ENSG00000138744	NAAA	-4.076384788	6.109779745	3.51E-34	2.07E-32
93190	ENSG00000157330	C1orf158	11.81289439	3.994996403	4.00E-34	2.35E-32
117144	ENSG00000175294	CATSPER1	8.782572092	3.780372802	4.03E-34	2.36E-32
2066	ENSG00000178568	ERBB4	4.155152159	4.734046134	4.21E-34	2.47E-32
3017	ENSG00000158373	H2BC5	-3.841660592	4.721507528	4.79E-34	2.80E-32
3293	ENSG00000130948	HSD17B3	5.174008726	4.403323309	5.43E-34	3.16E-32
127391	ENSG00000188800	TMCO2	12.05638955	4.235685441	5.44E-34	3.16E-32
51477	ENSG00000105655	ISYNA1	2.981298608	7.666879638	5.58E-34	3.23E-32
5205	ENSG00000081923	ATP8B1	-4.554599202	6.632041117	6.27E-34	3.63E-32
6753	ENSG00000278195	SSTR3	6.715140247	4.227461163	6.57E-34	3.79E-32
58512	ENSG00000116544	DLGAP3	6.147403666	3.173471113	8.12E-34	4.67E-32
1264	ENSG00000130176	CNN1	-3.446532212	9.156390362	8.40E-34	4.82E-32
283847	ENSG00000249961	TERB1	9.760970717	3.946467241	1.18E-33	6.77E-32
56978	ENSG00000152784	PRDM8	-4.215450718	5.885657474	1.29E-33	7.34E-32
440356	ENSG00000214725	CDIPTOSP	9.826169197	4.010796298	1.58E-33	9.00E-32
51635	ENSG00000100612	DHRS7	-5.366233963	8.248200835	1.82E-33	1.03E-31
153745	ENSG00000170613	FAM71B	11.8689082	4.050321569	2.24E-33	1.27E-31
150350	ENSG00000176177	ENTHD1	7.838014838	3.725457218	2.59E-33	1.46E-31
50511	ENSG00000139351	SYCP3	6.577580664	4.949838896	2.59E-33	1.46E-31
171169	ENSG00000177202	SPACA4	8.026654547	4.216959772	2.59E-33	1.46E-31
375775	ENSG00000130653	PNPLA7	-3.336901395	6.056278113	2.93E-33	1.64E-31
23286	ENSG00000113645	WWC1	-3.519168343	5.623831734	3.22E-33	1.80E-31
222865	ENSG00000166448	TMEM130	3.876190631	6.142309702	3.92E-33	2.19E-31
445347	ENSG00000211689	TARP	-9.206744721	6.681533151	4.25E-33	2.36E-31
84203	ENSG00000168454	TXNDC2	9.797196172	5.300173339	4.27E-33	2.37E-31
245802	ENSG00000166926	MS4A6E	11.41179686	3.599697922	4.59E-33	2.54E-31
991	ENSG00000117399	CDC20	6.375606874	4.93491377	5.58E-33	3.08E-31
200844	ENSG00000163689	C3orf67	6.13576968	4.837297072	6.12E-33	3.38E-31
10579	ENSG00000138162	TACC2	-2.555339354	6.306490723	6.59E-33	3.62E-31
3838	ENSG00000182481	KPNA2	4.61961551	7.4732771	6.98E-33	3.83E-31
131540	ENSG00000163958	ZDHHC19	8.672427954	4.183688883	7.09E-33	3.88E-31
57151	ENSG00000275722	LYZL6	11.37908416	3.567530674	8.42E-33	4.60E-31
144195	ENSG00000173262	SLC2A14	9.428475237	6.554149597	8.66E-33	4.72E-31
8395	ENSG00000107242	PIP5K1B	3.333496712	5.277836996	9.08E-33	4.93E-31
8140	ENSG00000103257	SLC7A5	5.222436464	7.245927321	9.26E-33	5.02E-31
23742	ENSG00000185823	NPAP1	6.957289124	3.405275582	1.30E-32	7.03E-31
79682	ENSG00000151725	CENPU	5.237727225	6.38682141	1.36E-32	7.33E-31
259308	ENSG00000205108	FAM205A	8.617970908	4.782343233	1.70E-32	9.12E-31
23397	ENSG00000121152	NCAPH	6.193618133	5.23763527	1.99E-32	1.07E-30
221833	ENSG00000164651	SP8	-5.558117918	3.849328151	2.23E-32	1.19E-30
23413	ENSG00000107130	NCS1	-2.941096014	5.745813621	2.33E-32	1.24E-30
10953	ENSG00000025772	TOMM34	2.91540779	6.957439413	2.33E-32	1.24E-30
1539	ENSG00000155833	CYLC2	12.72927132	4.90279841	2.33E-32	1.24E-30
219938	ENSG00000166118	SPATA19	11.76171001	3.944441276	2.49E-32	1.32E-30
4212	ENSG00000134138	MEIS2	-3.934593274	5.988404319	2.74E-32	1.45E-30
170062	ENSG00000189132	FAM47B	8.747954753	2.95029448	2.95E-32	1.56E-30
54457	ENSG00000102387	TAF7L	5.714107427	5.205205347	3.74E-32	1.97E-30
100507605	ENSG00000235824	LINC00837	10.75683789	4.932247386	5.68E-32	2.99E-30
3880	ENSG00000171345	KRT19	-4.096090101	5.933121252	5.85E-32	3.07E-30
195977	ENSG00000274209	ANTXRL	8.300072527	3.302983617	6.21E-32	3.25E-30
130560	ENSG00000173699	SPATA3	12.24746748	4.424785056	7.58E-32	3.96E-30
5535	ENSG00000188386	PPP3R2	10.60748995	6.084150318	7.70E-32	4.01E-30
113802	ENSG00000162639	HENMT1	3.983784526	5.779751931	8.30E-32	4.32E-30
284904	ENSG00000133488	SEC14L4	6.723446388	2.935324475	8.33E-32	4.32E-30
84073	ENSG00000136449	MYCBPAP	5.929641821	7.000827986	1.10E-31	5.67E-30
339965	ENSG00000163749	CCDC158	5.32719368	5.866345688	1.17E-31	6.02E-30
147741	ENSG00000198028	ZNF560	7.500421807	3.035166784	1.19E-31	6.15E-30
4824	ENSG00000167034	NKX3-1	-3.702162509	9.305926011	1.43E-31	7.34E-30
200373	ENSG00000163075	CFAP221	6.397673332	5.47474553	1.62E-31	8.29E-30
5865	ENSG00000169213	RAB3B	-5.255730311	6.380627097	1.70E-31	8.70E-30
22837	ENSG00000082438	COBLL1	-3.661367324	6.508950404	1.79E-31	9.12E-30
8936	ENSG00000112290	WASF1	3.769230067	6.517211121	1.82E-31	9.28E-30
6405	ENSG00000001617	SEMA3F	-3.118252327	5.213536523	1.83E-31	9.31E-30
55231	ENSG00000182791	CCDC87	6.009444862	3.985648929	1.94E-31	9.83E-30
10566	ENSG00000111254	AKAP3	6.472378082	6.97425491	1.99E-31	1.01E-29
2346	ENSG00000086205	FOLH1	-7.62295646	7.240842	2.85E-31	1.44E-29
54760	ENSG00000115257	PCSK4	5.13490072	5.860063324	3.48E-31	1.75E-29
55620	ENSG00000178078	STAP2	-4.248416537	4.813184672	3.54E-31	1.78E-29
6768	ENSG00000149418	ST14	-5.08088155	6.080709736	3.67E-31	1.84E-29
389799	ENSG00000188523	CFAP77	7.748408267	3.269673542	3.79E-31	1.90E-29
8318	ENSG00000093009	CDC45	4.951669227	4.417480396	3.91E-31	1.95E-29
10551	ENSG00000106541	AGR2	-9.419719826	7.817067793	4.18E-31	2.08E-29
7091	ENSG00000106829	TLE4	3.536592651	7.319712601	4.48E-31	2.23E-29
55693	ENSG00000186280	KDM4D	5.662461222	5.670095442	4.97E-31	2.46E-29
26038	ENSG00000116254	CHD5	4.666326376	6.017050131	4.99E-31	2.47E-29
1063	ENSG00000117724	CENPF	4.414470063	5.432234379	5.00E-31	2.47E-29
27232	ENSG00000124713	GNMT	-5.697010911	3.638866056	5.24E-31	2.58E-29
51207	ENSG00000079393	DUSP13	11.45137574	3.638548232	5.36E-31	2.63E-29
5178	ENSG00000198300	PEG3	3.806572615	7.336695809	6.97E-31	3.42E-29
93273	ENSG00000186007	LEMD1	7.466174624	3.656730016	7.07E-31	3.46E-29
115795	ENSG00000163705	FANCD2OS	9.317516049	3.510091342	7.24E-31	3.54E-29
10396	ENSG00000124406	ATP8A1	-2.659085088	6.154919252	7.36E-31	3.59E-29
57221	ENSG00000112379	ARFGEF3	-4.676215839	7.123320252	7.50E-31	3.64E-29
163183	ENSG00000181392	SYNE4	-4.79156848	3.779460189	7.95E-31	3.86E-29
54596	ENSG00000240563	L1TD1	5.378024202	3.524720307	8.23E-31	3.98E-29
23626	ENSG00000054796	SPO11	10.52683051	2.734433009	8.27E-31	3.99E-29
57648	ENSG00000162522	KIAA1522	-2.810502472	6.7418645	8.90E-31	4.29E-29
64800	ENSG00000186976	EFCAB6	4.703838212	5.914865796	1.08E-30	5.22E-29
2786	ENSG00000168243	GNG4	-4.21729536	5.230287951	1.17E-30	5.61E-29
494558	ENSG00000225626	C9orf135-DT	11.96452004	4.14475449	1.17E-30	5.61E-29
203074	ENSG00000184647	PRSS55	7.993414531	3.008112756	1.20E-30	5.72E-29
55165	ENSG00000138180	CEP55	6.212052103	4.549819931	1.23E-30	5.88E-29
160518	ENSG00000170456	DENND5B	2.846245231	6.039166241	1.33E-30	6.31E-29
100133941	ENSG00000272398	CD24	-6.047768421	7.044809613	1.37E-30	6.49E-29
85479	ENSG00000147570	DNAJC5B	7.68798042	4.323862654	1.46E-30	6.90E-29
100996345	ENSG00000261803	LINC02140	11.51780093	3.703925987	1.69E-30	7.98E-29
374470	ENSG00000179088	C12orf42	11.19225141	3.383978338	1.85E-30	8.73E-29
147646	ENSG00000262874	C19orf84	11.18463551	3.376465956	2.17E-30	1.02E-28
51213	ENSG00000102021	LUZP4	10.4546894	2.664412346	2.28E-30	1.07E-28
389860	ENSG00000238269	PAGE2B	7.71233356	2.734911594	2.86E-30	1.34E-28
135293	ENSG00000146281	PM20D2	-3.175136166	6.437468253	3.02E-30	1.41E-28
3418	ENSG00000182054	IDH2	-3.517374498	6.466158726	3.79E-30	1.77E-28
375189	ENSG00000176732	PFN4	6.780571151	5.083486005	3.86E-30	1.80E-28
64446	ENSG00000171595	DNAI2	9.165160354	4.152033195	3.89E-30	1.81E-28
158297	ENSG00000155875	SAXO1	7.66565071	4.492718277	4.00E-30	1.86E-28
84733	ENSG00000173894	CBX2	4.54776072	4.578925846	4.21E-30	1.95E-28
9232	ENSG00000164611	PTTG1	5.919160614	5.111817583	4.36E-30	2.01E-28
136242	ENSG00000165076	PRSS37	8.873888714	3.072410481	4.62E-30	2.13E-28
8317	ENSG00000097046	CDC7	3.840988921	4.796152798	5.38E-30	2.48E-28
701	ENSG00000156970	BUB1B	5.644924352	5.299342563	6.59E-30	3.03E-28
64151	ENSG00000109805	NCAPG	5.185713785	4.092684564	7.72E-30	3.54E-28
81029	ENSG00000111186	WNT5B	-3.782021686	4.703743867	7.92E-30	3.62E-28
284525	ENSG00000162753	SLC9C2	8.133956479	3.638193841	8.29E-30	3.79E-28
150082	ENSG00000157578	LCA5L	5.128629328	5.718183774	8.52E-30	3.88E-28
23546	ENSG00000105467	SYNGR4	8.802606706	3.790963888	8.96E-30	4.08E-28
80705	ENSG00000135951	TSGA10	4.289104916	6.353454096	9.09E-30	4.13E-28
122258	ENSG00000153498	SPACA7	11.49735576	3.683846114	9.93E-30	4.50E-28
149466	ENSG00000253313	C1orf210	-6.29293828	2.819883274	1.06E-29	4.78E-28
148170	ENSG00000167617	CDC42EP5	-4.083722403	4.514254688	1.14E-29	5.15E-28
129881	ENSG00000154479	CCDC173	7.411737252	5.790147545	1.25E-29	5.61E-28
10257	ENSG00000125257	ABCC4	-3.258202173	7.66085181	1.32E-29	5.91E-28
83699	ENSG00000198478	SH3BGRL2	-3.178194573	6.077071786	1.32E-29	5.92E-28
7168	ENSG00000140416	TPM1	-4.11324155	9.367479436	1.36E-29	6.10E-28
84070	ENSG00000135436	FAM186B	6.480229085	4.458654893	1.37E-29	6.14E-28
83446	ENSG00000123171	CCDC70	12.20342273	4.38112959	1.40E-29	6.24E-28
143471	ENSG00000154611	PSMA8	9.812797899	3.997489542	1.56E-29	6.95E-28
148145	ENSG00000267339	LINC00906	11.04957111	3.244055023	1.59E-29	7.03E-28
80712	ENSG00000123576	ESX1	8.356412056	2.570769384	1.59E-29	7.03E-28
8749	ENSG00000168619	ADAM18	11.8137229	3.995708712	1.63E-29	7.21E-28
10486	ENSG00000112186	CAP2	-3.331320596	5.00740201	1.66E-29	7.32E-28
131375	ENSG00000157093	LYZL4	8.081142611	3.089150837	1.70E-29	7.50E-28
643677	ENSG00000175820	CCDC168	9.070284594	4.558780128	2.11E-29	9.28E-28
63967	ENSG00000092853	CLSPN	5.404051907	3.749216347	2.79E-29	1.22E-27
347487	ENSG00000203933	CXorf66	10.75207404	2.953478636	2.84E-29	1.24E-27
55063	ENSG00000078487	ZCWPW1	3.544484832	5.846549854	3.10E-29	1.36E-27
256979	ENSG00000164744	SUN3	9.082291657	4.065792355	3.15E-29	1.38E-27
51765	ENSG00000134602	STK26	-2.985190252	5.205053434	3.33E-29	1.45E-27
85438	ENSG00000145309	CABS1	10.05484161	5.050914161	3.43E-29	1.49E-27
6611	ENSG00000102172	SMS	-2.460417759	7.146455867	3.61E-29	1.57E-27
79747	ENSG00000118492	ADGB	12.00993181	4.189617768	3.62E-29	1.57E-27
9576	ENSG00000077327	SPAG6	7.045980839	6.875748379	3.75E-29	1.62E-27
133558	ENSG00000171495	MROH2B	11.21651742	6.187317074	4.04E-29	1.74E-27
122509	ENSG00000165948	IFI27L1	3.180159593	4.780552632	4.28E-29	1.84E-27
5144	ENSG00000113448	PDE4D	-2.723814893	5.604773359	4.31E-29	1.85E-27
952	ENSG00000004468	CD38	-4.410162663	5.571540641	4.91E-29	2.10E-27
401022	ENSG00000224189	HAGLR	5.221853145	5.605343201	4.99E-29	2.14E-27
79056	ENSG00000135378	PRRG4	-3.934960592	4.407745014	5.32E-29	2.27E-27
84101	ENSG00000136014	USP44	5.326417761	5.109373238	5.32E-29	2.27E-27
145376	ENSG00000165807	PPP1R36	6.63112351	4.534160653	5.47E-29	2.33E-27
84910	ENSG00000153214	TMEM87B	-2.76829596	6.749245968	6.32E-29	2.69E-27
139221	ENSG00000157502	PWWP3B	3.218797333	5.679325095	6.39E-29	2.71E-27
55679	ENSG00000072163	LIMS2	-2.929670258	6.131035159	6.39E-29	2.71E-27
11004	ENSG00000142945	KIF2C	6.084061372	6.30902433	6.48E-29	2.74E-27
84215	ENSG00000118156	ZNF541	6.531908309	4.896663814	6.53E-29	2.75E-27
57156	ENSG00000165548	TMEM63C	5.581728963	3.810401735	7.24E-29	3.05E-27
732275	ENSG00000168367	LINC00917	13.17242752	5.343332393	7.38E-29	3.10E-27
122664	ENSG00000179636	TPPP2	8.771137088	5.6058606	8.62E-29	3.62E-27
8788	ENSG00000185559	DLK1	5.341091535	5.456447539	9.50E-29	3.98E-27
3783	ENSG00000104783	KCNN4	-5.378308474	5.198872217	9.98E-29	4.17E-27
284418	ENSG00000180043	FAM71E2	11.68249635	3.866196873	1.01E-28	4.21E-27
645037	ENSG00000189064	GAGE2B	10.2612535	2.477196514	1.06E-28	4.42E-27
53616	ENSG00000008277	ADAM22	-2.726824972	5.249659303	1.07E-28	4.46E-27
83540	ENSG00000143228	NUF2	6.255721905	5.00764895	1.12E-28	4.63E-27
132954	ENSG00000163440	PDCL2	11.79891632	3.981113282	1.13E-28	4.66E-27
27285	ENSG00000092850	TEKT2	5.333780703	4.658270094	1.17E-28	4.82E-27
80329	ENSG00000111981	ULBP1	7.885278605	2.898779905	1.21E-28	4.98E-27
3161	ENSG00000072571	HMMR	5.322375762	4.746151256	1.27E-28	5.24E-27
647024	ENSG00000188112	C6orf132	-4.315698277	4.814189356	1.43E-28	5.86E-27
55567	ENSG00000158486	DNAH3	6.884885789	4.515634727	1.43E-28	5.86E-27
63901	ENSG00000166801	FAM111A	-2.604818578	7.002525257	1.45E-28	5.96E-27
202500	ENSG00000146221	TCTE1	7.095943698	4.604093151	1.56E-28	6.38E-27
402665	ENSG00000142549	IGLON5	6.117552753	3.153217025	1.59E-28	6.48E-27
85417	ENSG00000147082	CCNB3	5.738410238	3.485837158	1.63E-28	6.64E-27
64285	ENSG00000007384	RHBDF1	-2.640725253	5.561949768	1.72E-28	7.02E-27
339669	ENSG00000185264	TEX33	11.6357907	3.820108015	1.75E-28	7.09E-27
7782	ENSG00000104154	SLC30A4	-3.006867409	7.89998837	1.75E-28	7.10E-27
164127	ENSG00000178395	CCDC185	11.59078773	3.775876607	1.86E-28	7.52E-27
199731	ENSG00000105767	CADM4	-3.232932381	5.148888151	1.91E-28	7.72E-27
402779	ENSG00000231163	CSMD2-AS1	11.23364289	3.424486107	1.99E-28	8.04E-27
196472	ENSG00000180219	FAM71C	9.208749947	3.39913458	2.00E-28	8.06E-27
84675	ENSG00000147573	TRIM55	11.2102843	3.401648969	2.07E-28	8.32E-27
157570	ENSG00000171320	ESCO2	5.498314766	3.329478853	2.40E-28	9.60E-27
143689	ENSG00000134627	PIWIL4	3.782726861	4.401331343	2.48E-28	9.93E-27
282966	ENSG00000178645	C10orf53	11.05197755	3.246482311	2.69E-28	1.08E-26
162540	ENSG00000185294	SPPL2C	11.72184317	3.905002681	2.76E-28	1.10E-26
642636	ENSG00000244588	RAD21L1	10.78101818	2.981581034	2.89E-28	1.15E-26
55511	ENSG00000181433	SAGE1	8.537527871	2.753409395	2.97E-28	1.18E-26
51085	ENSG00000009950	MLXIPL	3.684285914	4.560035965	3.09E-28	1.22E-26
658	ENSG00000138696	BMPR1B	-3.270343989	6.710390216	3.27E-28	1.29E-26
51191	ENSG00000138646	HERC5	3.533168052	6.599842265	3.39E-28	1.34E-26
2982	ENSG00000164116	GUCY1A1	-4.073982941	6.004406345	3.62E-28	1.43E-26
144406	ENSG00000158023	WDR66	4.558179418	4.96363308	3.95E-28	1.55E-26
404220	ENSG00000185689	C6orf201	6.345403294	4.313849289	4.08E-28	1.60E-26
8643	ENSG00000117425	PTCH2	3.744191816	5.738995396	4.08E-28	1.60E-26
283677	ENSG00000183324	REC114	9.537808843	3.721821525	4.43E-28	1.73E-26
92292	ENSG00000166840	GLYATL1	-7.156349449	4.23082679	4.43E-28	1.73E-26
168391	ENSG00000106648	GALNTL5	11.85581019	4.03726989	4.61E-28	1.80E-26
7422	ENSG00000112715	VEGFA	-5.676612882	8.881895231	4.65E-28	1.81E-26
399693	ENSG00000260220	CCDC187	9.228332238	4.219909682	5.03E-28	1.96E-26
11187	ENSG00000184363	PKP3	-4.930179291	3.949584903	5.04E-28	1.96E-26
148229	ENSG00000130270	ATP8B3	6.163095439	5.883836605	5.96E-28	2.31E-26
26074	ENSG00000089101	CFAP61	7.276283343	4.431131593	6.41E-28	2.48E-26
57475	ENSG00000054690	PLEKHH1	-2.570019388	6.520023641	6.72E-28	2.60E-26
140732	ENSG00000167098	SUN5	10.85251356	3.051359005	6.76E-28	2.61E-26
5990	ENSG00000087903	RFX2	4.995835873	6.986896502	6.94E-28	2.67E-26
56654	ENSG00000107281	NPDC1	-3.167242214	7.054137843	7.15E-28	2.75E-26
64506	ENSG00000214575	CPEB1	3.867690915	5.319597107	7.53E-28	2.89E-26
389421	ENSG00000187772	LIN28B	8.855365337	3.053888415	7.93E-28	3.04E-26
347735	ENSG00000168528	SERINC2	-3.628202053	6.12697869	8.61E-28	3.30E-26
56172	ENSG00000154122	ANKH	-3.598040863	7.528403331	9.08E-28	3.47E-26
159686	ENSG00000120051	CFAP58	4.873144093	4.155812323	9.22E-28	3.52E-26
79083	ENSG00000115648	MLPH	-5.789188316	7.433657274	9.28E-28	3.53E-26
388960	ENSG00000187833	C2orf78	11.41362831	3.601368359	9.37E-28	3.56E-26
152586	ENSG00000205301	MGAT4D	12.23698896	4.414347419	9.46E-28	3.59E-26
8444	ENSG00000143479	DYRK3	4.130474692	5.379310468	9.57E-28	3.63E-26
5648	ENSG00000127241	MASP1	-5.792103865	6.201987288	9.65E-28	3.65E-26
101926890	ENSG00000226759	DAB1-AS1	11.36599309	3.554482743	9.82E-28	3.71E-26
127247	ENSG00000154007	ASB17	11.46665125	3.653491166	9.94E-28	3.75E-26
100130967	ENSG00000203711	C6orf99	6.97988243	4.250489086	1.07E-27	4.01E-26
643201	ENSG00000248596	LOC643201	5.568548585	5.511096185	1.09E-27	4.10E-26
400451	ENSG00000185442	FAM174B	-2.720947131	5.92895509	1.11E-27	4.16E-26
401067	ENSG00000229972	IQCF3	9.678614627	3.865157911	1.14E-27	4.27E-26
374768	ENSG00000181323	SPEM1	9.431184135	3.621635834	1.15E-27	4.29E-26
26166	ENSG00000132554	RGS22	4.914895639	6.730902872	1.18E-27	4.42E-26
164592	ENSG00000161180	CCDC116	5.442921091	3.915503835	1.21E-27	4.49E-26
23316	ENSG00000111249	CUX2	-4.496572411	5.728602695	1.24E-27	4.63E-26
128602	ENSG00000124237	C20orf85	8.958467471	3.9432563	1.30E-27	4.81E-26
144203	ENSG00000177359	OVOS2	6.589764134	4.906746694	1.43E-27	5.28E-26
10739	ENSG00000128253	RFPL2	-7.232441088	3.905460734	1.44E-27	5.34E-26
8470	ENSG00000154556	SORBS2	-4.042881949	6.914242962	1.51E-27	5.59E-26
256309	ENSG00000168491	CCDC110	5.304618313	6.660600991	1.54E-27	5.67E-26
55811	ENSG00000143199	ADCY10	6.86567526	4.931716608	1.63E-27	6.01E-26
168433	ENSG00000188050	RNF133	7.79600087	3.987596604	1.74E-27	6.39E-26
9890	ENSG00000117600	PLPPR4	4.303606238	3.609667448	2.00E-27	7.35E-26
644186	ENSG00000217442	SYCE3	7.592094267	3.123973917	2.02E-27	7.41E-26
8522	ENSG00000007237	GAS7	2.58590871	6.531918147	2.03E-27	7.44E-26
154865	ENSG00000164675	IQUB	5.297194062	5.430306675	2.29E-27	8.38E-26
7380	ENSG00000100373	UPK3A	-7.52545224	3.646771731	2.41E-27	8.79E-26
140432	ENSG00000139797	RNF113B	10.14653659	4.321718465	2.45E-27	8.92E-26
26526	ENSG00000130167	TSPAN16	10.22451937	4.404351174	2.50E-27	9.10E-26
4114	ENSG00000198798	MAGEB3	10.29364552	2.509034887	2.54E-27	9.22E-26
100507206	ENSG00000189238	LINC00943	7.833694898	3.343910375	2.64E-27	9.56E-26
93081	ENSG00000151287	TEX30	4.662807209	5.878048513	2.73E-27	9.89E-26
199223	ENSG00000168026	TTC21A	4.790655883	6.977126744	2.90E-27	1.05E-25
5010	ENSG00000013297	CLDN11	4.663765768	8.020882431	2.94E-27	1.06E-25
2318	ENSG00000128591	FLNC	-3.806357585	8.256786083	3.29E-27	1.18E-25
284382	ENSG00000181786	ACTL9	10.21000952	4.389981933	3.48E-27	1.25E-25
